name,index,0,1,precision,recall,f1-score,accuracy,support,precision_avg,recall_avg,f1-score_avg,note
LogisticRegression: Train,0,960.0,11689.0,0.4139715394566624,0.07589532769388885,0.12827365045430253,0.6577304443628351,12649.0,0.5437452591565914,0.5112723605846667,0.4576677345554364,max_iter=1000
LogisticRegression: Train,1,1359.0,24114.0,0.6735189788565205,0.9466493934754446,0.7870618186565703,0.6577304443628351,25473.0,0.5437452591565914,0.5112723605846667,0.4576677345554364,
LogisticRegression: Test,0,434.0,4985.0,0.4102079395085066,0.0800885772282709,0.1340126601821831,0.6566899253274575,5419.0,0.5419822420055622,0.5114702433718972,0.459960259630387,max_iter=1000
LogisticRegression: Test,1,624.0,10295.0,0.6737565445026178,0.9428519095155234,0.7859078590785908,0.6566899253274575,10919.0,0.5419822420055622,0.5114702433718972,0.459960259630387,
LogisticRegression: Train,0,873.0,11776.0,0.4611727416798732,0.06901731362163017,0.12006601567872369,0.6643408005875873,12649.0,0.5680646341096929,0.5144874578943153,0.4563410691663853,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Train,1,1020.0,24453.0,0.6749565265395125,0.9599576021670003,0.7926161226540469,0.6643408005875873,25473.0,0.5680646341096929,0.5144874578943153,0.4563410691663853,
LogisticRegression: Test,0,404.0,5015.0,0.47086247086247085,0.07455250046133972,0.1287239126971483,0.6652589056188027,5419.0,0.5734480312968685,0.5164868006473747,0.46077848727777604,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Test,1,454.0,10465.0,0.6760335917312662,0.9584211008334097,0.7928330618584037,0.6652589056188027,10919.0,0.5734480312968685,0.5164868006473747,0.46077848727777604,
GradientBoostingClassifier: Train,0,7639.0,5010.0,0.7285646161182642,0.6039212585975176,0.6604132445750843,0.793924767850585,12649.0,0.7736429477812438,0.7460975585964464,0.7562469160175365,n_estimators=100
GradientBoostingClassifier: Train,1,2846.0,22627.0,0.8187212794442233,0.8882738585953754,0.8520805874599887,0.793924767850585,25473.0,0.7736429477812438,0.7460975585964464,0.7562469160175365,
GradientBoostingClassifier: Test,0,3319.0,2100.0,0.7232512529962954,0.6124746263148182,0.663269384492406,0.7937324029869017,5419.0,0.7722563184719327,0.748081804411187,0.757300829532245,n_estimators=100
GradientBoostingClassifier: Test,1,1270.0,9649.0,0.82126138394757,0.8836889825075557,0.851332274572084,0.7937324029869017,10919.0,0.7722563184719327,0.748081804411187,0.757300829532245,
GradientBoostingClassifier: Train,0,7258.0,5391.0,0.7140889413616687,0.5738003004190054,0.6363038618331653,0.7823566444572688,12649.0,0.7606319948241922,0.7298593619238669,0.7405097381820278,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Train,1,2906.0,22567.0,0.8071750482867158,0.8859184234287285,0.8447156145308904,0.7823566444572688,25473.0,0.7606319948241922,0.7298593619238669,0.7405097381820278,
GradientBoostingClassifier: Test,0,3165.0,2254.0,0.7061579651941098,0.5840560989112382,0.6393293606706394,0.781429795568613,5419.0,0.7580216276712789,0.731720328968395,0.7412673148029376,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Test,1,1317.0,9602.0,0.809885290148448,0.8793845590255518,0.843205268935236,0.781429795568613,10919.0,0.7580216276712789,0.731720328968395,0.7412673148029376,
AdaBoostClassifier: Train,0,7620.0,5029.0,0.704772475027747,0.6024191635702427,0.6495886790844381,0.7843502439536226,12649.0,0.7603137365984579,0.7385550063523101,0.7469188872185542,
AdaBoostClassifier: Train,1,3192.0,22281.0,0.8158549981691688,0.8746908491343776,0.8442490953526703,0.7843502439536226,25473.0,0.7603137365984579,0.7385550063523101,0.7469188872185542,
AdaBoostClassifier: Test,0,3277.0,2142.0,0.6981252662974009,0.6047241188411145,0.6480767329180263,0.7821642795935855,5419.0,0.7570839316715448,0.7374751650163078,0.7451703081334358,
AdaBoostClassifier: Test,1,1417.0,9502.0,0.8160425970456887,0.870226211191501,0.8422638833488454,0.7821642795935855,10919.0,0.7570839316715448,0.7374751650163078,0.7451703081334358,
RandomForestClassifier: Train,0,8819.0,3830.0,0.7650069396252602,0.6972092655545893,0.7295363361872854,0.8284717485966109,12649.0,0.8104947460403507,0.7954306838902377,0.8019740758663202,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003, random_state=1234"
RandomForestClassifier: Train,1,2709.0,22764.0,0.8559825524554411,0.8936521022258862,0.874411815545355,0.8284717485966109,25473.0,0.8104947460403507,0.7954306838902377,0.8019740758663202,
RandomForestClassifier: Test,0,3786.0,1633.0,0.7541832669322709,0.6986528879867134,0.725356834945876,0.8245195250336639,5419.0,0.8049499123139885,0.7928194378572637,0.7982137864525665,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003, random_state=1234"
RandomForestClassifier: Test,1,1234.0,9685.0,0.855716557695706,0.8869859877278139,0.871070737959257,0.8245195250336639,10919.0,0.8049499123139885,0.7928194378572637,0.7982137864525665,
KNeighborsClassifier: Train,0,8616.0,4033.0,0.7275183652790678,0.6811605660526524,0.7035766780989711,0.8095587849535701,12649.0,0.7870249081237608,0.7772387056699096,0.7816461223235619,
KNeighborsClassifier: Train,1,3227.0,22246.0,0.846531450968454,0.8733168452871668,0.8597155665481527,0.8095587849535701,25473.0,0.7870249081237608,0.7772387056699096,0.7816461223235619,
KNeighborsClassifier: Test,0,3688.0,1731.0,0.719609756097561,0.6805683705480716,0.6995447647951442,0.8060962174072714,5419.0,0.7826176846125903,0.7744814560863813,0.7782018058568165,
KNeighborsClassifier: Test,1,1437.0,9482.0,0.8456256131276197,0.8683945416246909,0.856858846918489,0.8060962174072714,10919.0,0.7826176846125903,0.7744814560863813,0.7782018058568165,
VotingClassifier: Train,0,8109.0,4540.0,0.7584175084175084,0.6410783461143174,0.6948288419519302,0.8131525103614711,12649.0,0.7964526477559652,0.7698384310950812,0.780093097043485,"('RF', clf_RF), ('GB', clf_GB), ('AB', clf_AB')"
VotingClassifier: Train,1,2583.0,22890.0,0.8344877870944222,0.8985985160758451,0.8653573521350396,0.8131525103614711,25473.0,0.7964526477559652,0.7698384310950812,0.780093097043485,
VotingClassifier: Test,0,3493.0,1926.0,0.7519913885898816,0.644583871563019,0.6941573926868044,0.8116048475945649,5419.0,0.7936387285889628,0.7695398522573773,0.7790174899043433,"('RF', clf_RF), ('GB', clf_GB), ('AB', clf_AB')"
VotingClassifier: Test,1,1152.0,9767.0,0.8352860685880441,0.8944958329517355,0.8638775871218821,0.8116048475945649,10919.0,0.7936387285889628,0.7695398522573773,0.7790174899043433,
