,ParentProductNumber,ParentProductNumberSubs,prdictProbaMean,prdictProbaStd,countRows,rankMeanAndStd
659,7290107932240,7622300617820,0.554072005905196,0.265105831456741,4,2
660,7290107932240,7290112351197,0.524503057360599,0.197490343984388,10,3
661,7290107937627,7290106721920,0.744626106232122,0.200480167891439,11,1
662,7290107937627,7290107937634,0.745340432154805,0.275816613666988,20,2
663,7290107937627,7290112332875,0.65136110106062,0.0132541654344114,4,3
664,7290107937634,7290112342386,0.707958906478145,0.0247173489206262,3,1
665,7290107937634,7290112349897,0.720335672969571,0.0792714774816328,8,2
666,7290107937634,7290107937627,0.697861309566852,0.220861622413772,8,3
667,7290107937641,7290106721906,0.798005972311284,0.159205730095719,40,1
668,7290107937641,7290112335111,0.738566278812725,0.0836207894134144,35,2
669,7290107937641,7290112332899,0.65208000318034,0.274982514167284,40,3
670,7290107944380,7290115670301,0.677213278515292,0.0576171764175656,4,1
671,7290107944380,72917367,0.61973386493813,0.0898279974400515,18,2
672,7290107944380,72917329,0.59955656250754,0.142832628335582,67,3
673,7290107944717,7290106521612,0.651754969348867,0.0202581758291716,29,1
674,7290107944717,7290100850411,0.587064874721362,0.111209840585997,3,2
675,7290107944717,7290100850466,0.57159524708547,0.115997220072123,5,3
676,7290107947992,7290107932240,0.599214854939498,0.115389600801935,23,1
677,7290107947992,170053,0.492515710214154,0.0255461868555746,6,2
678,7290107947992,7290107948029,0.518895741253441,0.118159183537974,8,3
679,7290107948029,7290112351098,0.638123008019718,0.0854998560899372,13,1
680,7290107948029,7290112351210,0.608545469999595,0.152743942873988,3,2
681,7290107948029,7290107932240,0.590436401021112,0.0508775832787423,5,3
682,7290107951548,7290107951623,0.832093129126943,0.162500382626237,95,1
683,7290107951548,7290107951630,0.691714534099425,0.245776920494513,94,2
684,7290107951548,7290107948029,0.510021415303618,0.0353414157948364,3,3
685,7290107951579,7290107951586,0.724657557171657,0.302679922817271,26,1
686,7290107951579,7290102033911,0.632297039415781,0.138351525313613,18,2
687,7290107951579,7290106665507,0.702936306126995,0.423894196958065,659,3
688,7290107951623,7290107951548,0.629846375151581,0.189559536990462,217,1
689,7290107951623,7290107951630,0.638623683950394,0.231691827540835,167,2
690,7290107951623,7290112349651,0.382648545818321,0.0421030337280777,11,3
691,7290107951630,7290107951623,0.792271757738712,0.146798989205422,35,1
692,7290107951630,7290107951548,0.724747846258942,0.166809367159738,71,2
693,7290107951630,7290112351210,0.460032599401202,0.0467295311873889,19,3
694,7290107951715,7290112357618,0.833075057618517,0.0797526969265378,4,1
695,7290107951715,7290107937627,0.776656755809542,0.327268486759025,5,2
696,7290107951715,7290107937634,0.644689476046946,0.271244593768689,20,3
697,7290107957069,7290112340252,0.831957048186388,0.106790066945984,3,1
698,7290107957069,7290106721920,0.831529359046773,0.126959770213609,6,2
699,7290107957069,7290106721906,0.732655261158732,0.198175462930944,9,3
700,7290107958578,7290103407223,0.893577970858504,0.129452455756316,70,1
701,7290107958578,7290103402815,0.866929179106567,0.143328849174698,66,2
702,7290107958578,7290107958677,0.773872449271796,0.14572442276737,17,3
703,7290110567309,72917893,0.612363295401471,0.0871855768406748,25,1
704,7290111350986,7290111353239,0.767583523707595,0.0719225903712849,5,1
705,7290111350986,7290111353109,0.665894234664342,0.2082652065644,8,2
706,7290111351402,7290111351419,0.711568982443656,0.0167149332866228,14,1
707,7290111351402,7290112352699,0.582226987957839,0.0686493289499871,9,2
708,7290111351419,7290111351402,0.751541959295486,0.00504965094193222,5,1
709,7290111351419,7290112352699,0.587803118061362,0.0418896910990531,8,2
710,7290111352935,8001003100164,0.67572838369791,0.136786838137957,28,1
711,7290111352935,1817063,0.581302762807368,0.0592723273650708,41,2
712,7290111352935,7702174070201,0.441211619818959,0.0302876519568905,3,3
713,7290111352959,8850632604259,0.907717634028068,0.00887228844245348,4,1
714,7290111352959,8693323085100,0.89098021544836,0.108574976582003,17,2
715,7290111352959,7290111352966,0.808040096632418,0.0959105541603506,14,3
716,7290111352966,8683323063024,0.809435534531904,0.13224279158665,30,1
717,7290111352966,7290111352973,0.800994082455295,0.134568618610478,20,2
718,7290111352966,8693323084028,0.73118898401888,0.146901009734099,13,3
719,7290111352973,8683323063024,0.697395258207179,0.139402815971495,3,1
720,7290111352973,7290111352966,0.660626622298437,0.147043301155131,9,2
721,7290111353055,7290111353239,0.776741980785676,0.182602937674235,27,1
722,7290111353055,7290111353079,0.769020400267932,0.191281669416669,20,2
723,7290111353055,7290111353109,0.764731752984232,0.244287481410663,48,3
724,7290111353079,7290111353154,0.858047915151572,0.177394663999831,51,1
725,7290111353079,7290111353147,0.848380532876273,0.18843011881165,23,2
726,7290111353079,7290111353055,0.772434393315455,0.133487072360822,15,3
727,7290111353109,7290111353123,0.848547081179551,0.0634767732492871,15,1
728,7290111353109,7290111353154,0.828493235999924,0.15048404795234,16,2
729,7290111353109,7290111353055,0.789650662444935,0.143918181551834,33,3
730,7290111353123,7290111353239,0.86213114555823,0.108391809195926,3,1
731,7290111353123,7290111353109,0.724423449602741,0.189590288278005,35,2
732,7290111353123,7290111350986,0.54984804564901,0.104637916357422,3,3
733,7290111353147,7290111353154,0.591023258912043,0.245602898823324,11,1
734,7290111353147,7290111353079,0.503178278419381,0.266513868929535,4,2
735,7290111353154,7290111353147,0.898134706600732,0.108044062807429,68,1
736,7290111353154,7290111353123,0.834643721607835,0.153052197287944,4,2
737,7290111353154,7290111353079,0.854446552359145,0.17390115425052,30,3
738,7290111353239,7290111353055,0.675676938438392,0.267063149407434,19,1
739,7290111353239,7290111353109,0.678340214756583,0.279161174252866,9,2
740,7290111353239,7290111350986,0.451271435848026,0.242256136013726,6,3
741,7290111353383,87108712,0.431679613086572,0.109433439577187,7,1
742,7290111353383,7290111353376,0.395637313943267,0.194260651058906,20,2
743,7290112332899,7290112337450,0.792431067594765,0.197776487367853,31,1
744,7290112332899,7290112349316,0.746300541588226,0.064713469454984,15,2
745,7290112332899,7290106721906,0.752573826552015,0.223163179194859,9,3
746,7290112335043,7296073384144,0.824379670887212,0.00500235542471088,3,1
747,7290112335043,7290016408294,0.782456370263731,0.223712359690627,150,2
748,7290112335043,7296073220480,0.727505000524006,0.152783593168922,3,3
749,7290112335111,7290107937641,0.715847388484998,0.00960746074154694,6,1
750,7290112335111,7290106721906,0.640331945202678,0.0190236817632911,4,2
751,7290112335111,7290112349316,0.609965272517074,0.0177278001258373,19,3
752,7290112335999,7290112344793,0.637649384053415,0.253182875192489,5,1
753,7290112335999,7290112344007,0.620653198646579,0.290631157906641,7,2
754,7290112336644,7290112337474,0.574855249858373,0.0835243578762356,18,1
755,7290112336644,7290112336651,0.526461185418784,0.100544052346886,5,2
756,7290112336644,77245110610,0.328116788918357,0.159375951167621,24,3
757,7290112336651,7290112337474,0.641877990410969,0.124526492541846,3,1
758,7290112336651,7290112336644,0.521266375479871,0.171361013709998,4,2
759,7290112336651,7290112337481,0.42527463869514,0.163910028271068,7,3
760,7290112337474,7290112336644,0.497069711943748,0.122811513516636,59,1
761,7290112337474,7290112337481,0.504784805884683,0.139691779652442,3,2
762,7290112337474,7290112336651,0.403657394012214,0.104253575106731,22,3
763,7290112337481,7290112336651,0.66046422495574,0.0558462338134075,11,1
764,7290112337481,7290112336644,0.437950817095138,0.216833372350849,3,2
765,7290112340245,7290106721906,0.793746952602603,0.11677628481588,3,1
766,7290112340245,7290107957069,0.739759382186967,0.240183873749696,8,2
767,7290112340245,8750264,0.715540405127785,0.058817858073314,5,3
768,7290112340252,7290106721920,0.750129564856117,0.00449007957781744,4,1
769,7290112340252,7290104068539,0.661582873656958,0.00790865480719072,3,2
770,7290112340252,7290112340245,0.662131898552077,0.219129220718749,13,3
771,7290112341594,7290112341617,0.652191108674415,0.123124531504699,11,1
772,7290112341594,7290112341600,0.578336201634717,0.0954628925157548,14,2
773,7290112341600,7290112341617,0.562050606338918,0.110855205069671,7,1
774,7290112341600,8748384,0.356934922522265,0.0234965498493607,3,2
775,7290112341617,7290112341594,0.709725445529974,0.0591325827233271,8,1
776,7290112341617,7290112341600,0.635852525482415,0.0369164826228801,8,2
777,7290112341631,8748384,0.669718325725025,0.00944808438467101,4,1
778,7290112341631,7296073413721,0.485395340390056,0.157997953927314,3,2
779,7290112341921,7290107951715,0.762564961887929,0.12603666298221,9,1
780,7290112341921,7290107937641,0.609506143320563,0.354006857135774,3,2
781,7290112341921,7290107937627,0.519404975933181,0.28070648547607,7,3
782,7290112342379,7290112342386,0.810826769024967,0.173132266540023,13,1
783,7290112342379,7290107937627,0.682408296767148,0.301969258197523,4,2
784,7290112342379,80850885,0.618722639636168,0.107300398474701,3,3
785,7290112342386,80828174,0.609511494357704,0.114641848533332,3,1
786,7290112344007,7290112344793,0.730319130730016,0.0963979893365763,3,1
787,7290112344007,7290112335999,0.617375477013706,0.340041182491062,3,2
788,7290112344793,7290112344007,0.649334095872545,0.206537911223216,8,1
789,7290112344793,7290112335999,0.593233745965435,0.291632400790149,13,2
790,7290112345356,4009900013581,0.463049915404053,0.0856369577034869,6,1
791,7290112345363,7290112345356,0.708821523501317,0.0236644685809131,3,1
792,7290112347602,7290112349279,0.775209058341917,0.0851178374717138,3,1
793,7290112347602,7290112347619,0.691094186156621,0.242929027761975,6,2
794,7290112347619,7290112349279,0.790028773487594,0.0983229085155442,5,1
795,7290112348234,7290110567309,0.643903459856764,0.0434482667032362,3,1
796,7290112348234,7290112350350,0.591847011484975,0.0284623427572897,14,2
797,7290112348234,72917893,0.486652698662762,0.0416207491871382,11,3
798,7290112348241,7290112348234,0.60781275664949,0.018671527248543,3,1
799,7290112348241,7290112350350,0.609035206294253,0.0989381945275799,10,2
800,7290112348241,7290110567309,0.537140303283063,0.0639945416411878,3,3
801,7290112348548,170275,0.792545937847576,0.187673809069273,7,1
802,7290112348548,7290112351128,0.728040060146407,0.21351977253747,3,2
803,7290112348548,7290112351098,0.758039308153134,0.297237149139105,7,3
804,7290112349279,7290112347619,0.672819028147884,0.266928865771784,22,1
805,7290112349279,7290112347602,0.631367458822004,0.265961037810427,11,2
806,7290112349316,7290112332899,0.635117877518672,0.0128653084578948,5,1
807,7290112349316,7290112335111,0.590762600531399,0.112762698868235,6,2
808,7290112349651,7290112351210,0.913445711275479,0.199819129505789,14,1
809,7290112349651,7290112351197,0.889284715654673,0.222754916146612,42,2
810,7290112349651,7290112351098,0.868164827757799,0.273397225350737,9,3
811,7290112349668,7290105961525,0.752379518554618,0.118533691255582,172,1
812,7290112349668,3046920029759,0.531468026723553,0.0927688668434589,30,2
813,7290112349668,8748384,0.574779724183082,0.244734842738448,7,3
814,7290112349897,7290107937634,0.635165086314382,0.0871190720936581,12,1
815,7290112349897,80804697,0.488816089726645,0.0881334028031121,4,2
816,7290112350350,72917893,0.663029635775836,0.0804880276518504,21,1
817,7290112350350,7290112348241,0.639512009976659,0.0645973862260171,8,2
818,7290112350350,7290112348234,0.639926537738564,0.0752341111517674,4,3
819,7290112351098,7290112351210,0.940282591246838,0.03672927998488,3,1
820,7290112351098,7290112351128,0.875535880490117,0.184658528907517,20,2
821,7290112351098,7290112349651,0.880805177098491,0.223000730047662,18,3
822,7290112351104,7290112349651,0.901083096469287,0.181237448951262,9,1
823,7290112351104,8747424,0.878524115313252,0.154136820415297,18,2
824,7290112351104,8750400,0.883720709267981,0.188960360638276,6,3
825,7290112351128,7290100850008,0.965884275744242,0.0101206160495077,10,1
826,7290112351128,7290112351197,0.945739233373855,0.0104015300879881,5,2
827,7290112351128,7290112348548,0.916359525002172,0.00321993973807359,3,3
828,7290112351197,7290112349651,0.888274938618495,0.22254286127871,48,1
829,7290112351197,7290112351210,0.837517231732866,0.281202789164162,12,2
830,7290112351197,170053,0.676931780343193,0.434935865774132,3,3
831,7290112351210,7290112351197,0.897964355411525,0.216072291359696,28,1
832,7290112351210,7290112349651,0.871884053518261,0.253649075787246,29,2
833,7290112351210,7290107948029,0.76966979313245,0.13484266540219,3,3
834,7290112351463,7290112351470,0.72748007555881,0.226710672937299,40,1
835,7290112351463,7290112357892,0.450459847545216,0.322173312284123,18,2
836,7290112351470,7290112351463,0.679920323414261,0.275660878968903,45,1
837,7290112351470,7290112337474,0.328179454927149,0.125360566861223,3,2
838,7290112351470,7290112357892,0.358173661952271,0.28210096877941,16,3
839,7290112351623,7290107951623,0.609356616264319,0.0849074604273601,4,1
840,7290112351623,5200908,0.658273006514719,0.24745806225801,53,2
841,7290112351623,7290107951548,0.577358774104063,0.0919794071181852,6,3
842,7290112352699,7290111351419,0.619700203859925,0.0693928026717457,8,1
843,7290112352699,7290100850411,0.617361934395186,0.137434257918179,4,2
844,7290112352699,7290111351402,0.573566602159025,0.0803579429414128,6,3
845,7290112352705,7290112352699,0.718329479009193,0.0243394204474217,6,1
846,7290112353399,72917367,0.612633735460261,0.00399372051908723,4,1
847,7290112353399,7290115670301,0.610627340167221,0.0219625892209133,33,2
848,7290112353399,8747431,0.561668474773044,0.0104661017687264,3,3
849,7290112357618,7290107951715,0.916236072699522,0.00175311472113536,5,1
850,7290112357618,4009900504218,0.684903814490576,0.0125431295021521,4,2
851,7290112357618,7290107937627,0.776059845948983,0.258358337082013,9,3
852,7290112357892,7290112351470,0.525808171696099,0.292564755399912,10,1
853,7290112357892,7290112351463,0.470307501579036,0.30868353713463,10,2
854,7290112358011,7290112358028,0.592937674565828,0.123400627000917,5,1
855,7290112358028,7290112358011,0.327353725528091,0.123024593207825,4,1
856,7290112490124,7290107649605,0.896387221367805,0.209647855199825,254,1
857,7290112490124,7290112494276,0.62779996091557,0.351283375604304,5,2
858,7290112490124,8753982,0.540851479291879,0.340009111141076,4,3
859,7290112491541,7290112495563,0.797155049586914,0.134555458663571,23,1
860,7290112491541,5197635,0.658857095378608,0.143924954473586,64,2
861,7290112491541,3145539,0.60943569256264,0.151947258815362,27,3
862,7290112493163,7290112494276,0.756752329010596,0.321758577444228,8,1
863,7290112494221,7290112494238,0.847470992268338,0.319427865583443,174,1
864,7290112494221,7290112494276,0.843578794810897,0.323840229966408,305,2
865,7290112494221,7290112494283,0.838795406963646,0.330926610971338,131,3
866,7290112494238,7290112494283,0.933177029943473,0.198294662878159,60,1
867,7290112494238,7290112494221,0.923545165438999,0.208016957784535,55,2
868,7290112494238,7290112494313,0.781778299108963,0.372910260070389,44,3
869,7290112494276,7290112494238,0.862414702005317,0.295974501196797,171,1
870,7290112494276,7290112494221,0.841923993684796,0.315966298192431,220,2
871,7290112494276,7290112494283,0.838999783692498,0.327593334667838,154,3
872,7290112494283,7290112494238,0.861192319325832,0.30102172877877,253,1
873,7290112494283,7290112494276,0.855979160683616,0.31271199316916,136,2
874,7290112494283,7290112494221,0.830827607967046,0.334328181082049,107,3
875,7290112494290,7290112494276,0.762650069896263,0.34709975196299,5,1
876,7290112494290,7290112494221,0.71121658931314,0.355449735870014,10,2
877,7290112494313,7290112494283,0.794978936915243,0.355221948208494,139,1
878,7290112494313,7290112494276,0.791841816582964,0.367548122119556,212,2
879,7290112494313,7290112494238,0.775785711757618,0.36046608094037,145,3
880,7290112495273,7290112494238,0.911892057172839,0.185423876344509,17,1
881,7290112495273,7290112494221,0.903335668166372,0.214144270600439,56,2
882,7290112495273,7290112494283,0.896041515287942,0.224950410382442,32,3
883,7290112495556,72909799,0.590315704407366,0.12727913793107,43,1
884,7290112495556,7290106521612,0.436974102864391,0.111462422531402,3,2
885,7290112495556,161631,0.409171269122266,0.058727167628479,4,3
886,7290112495563,5197635,0.649783008504242,0.00592349488307504,3,1
887,7290112495563,7290100852576,0.610462174000265,0.122144638630622,4,2
888,7290112495563,7296073197478,0.533563710747888,0.0157269347191409,4,3
889,7290112497918,72909799,0.890510512199185,0.135647388388053,131,1
890,7290112497918,161648,0.898889785528333,0.146768439305895,64,2
891,7290112497918,161631,0.838465222205125,0.190091805138574,64,3
892,7290115670264,7290112351593,0.511927901705996,0.0908956886676497,4,1
893,7290115670301,7290112353399,0.646354319638407,0.0100655718932466,8,1
894,7290115670301,40111216,0.213898038931395,0.0120425158637006,9,2
895,7296073141143,7296073197461,0.717650547768422,0.0032579238860893,4,1
896,7296073141150,7296073197478,0.703222448496408,0.0122097288787431,3,1
897,7296073141150,7296073156611,0.64378546995242,0.0187979760586443,6,2
898,7296073141150,7296073161493,0.529329275680246,0.00778880273248068,3,3
899,7296073146933,7296073156611,0.628040383224217,0.00501431647237708,5,1
900,7296073146933,7296073141150,0.634955312601674,0.0264233993928125,25,2
901,7296073146933,7290100854266,0.607338456088688,0.0164153169083162,4,3
902,7296073146940,7296073141143,0.683701122793995,0.0132677811093486,23,1
903,7296073146940,7296073146933,0.674326714952394,0.0173618298913574,4,2
904,7296073146940,8753982,0.52798720377917,0.0328652691407454,13,3
905,7296073146957,7296073156604,0.600794466867147,0.0148294960284712,4,1
906,7296073150756,7296073161509,0.71647940294178,0.00473216068427416,7,1
907,7296073156604,7296073146957,0.6461893040649,0.107132869276488,7,1
908,7296073156611,7296073161493,0.741939987242324,0.00992137470342034,4,1
909,7296073156611,7290100854266,0.706177520947191,0.00422487724499612,3,2
910,7296073161493,7296073156611,0.719295967038419,0.067587686978135,20,1
911,7296073161493,7290100859162,0.723160008027474,0.081873195117301,21,2
912,7296073161493,7296073202479,0.674253584279128,0.0430421266034461,6,3
913,7296073161509,7296073150756,0.758860278448108,0.0569291838149798,18,1
914,7296073161509,7296073197461,0.383053447074083,0.0479079679777831,5,2
915,7296073161516,7296073156628,0.429823766646386,0.0392001269595316,4,1
916,7296073161516,7296073161493,0.307630023751337,0.026350274565769,4,2
917,7296073161516,7296073197478,0.253381761038011,0.0544566915499521,12,3
918,7296073170839,7296073171126,0.845471586861313,0.0119115427914888,19,1
919,7296073170839,7290112348548,0.668766526070908,0.0298909639757039,27,2
920,7296073170839,3045140105502,0.597489136548678,0.0125600177119524,3,3
921,7296073171126,7296073170839,0.734993751704596,0.00642870209884071,25,1
922,7296073171126,7290112348548,0.628073262679532,0.0146134090671003,10,2
923,7296073171126,4025700001962,0.657703563061385,0.0389780787875801,19,3
924,7296073197461,7290104720536,0.756377612150141,0.00188320854470309,3,1
925,7296073197461,7296073141143,0.714178346012102,0.0272612641261007,10,2
926,7296073197461,7296073202493,0.637962630796349,0.130759747884052,12,3
927,7296073197478,7290100852576,0.734669733715832,0.181711638223182,14,1
928,7296073197478,7296073202479,0.697007503938755,0.102865389836411,56,2
929,7296073197478,7296073141150,0.672466848165176,0.0747017107065722,17,3
930,7296073202479,5197635,0.859195298956135,0.0327280679462934,29,1
931,7296073202479,7296073197478,0.846331894896993,0.15044068073286,129,2
932,7296073202479,7290100852576,0.74765364842113,0.0721606033807566,3,3
933,7296073202493,7296073197461,0.835815322643105,0.0901072168893956,50,1
934,7296073202493,5197628,0.661091342291651,0.0129422942669479,4,2
935,7296073202493,7296073150756,0.305682459045554,0.0230839881073251,3,3
936,7296073220176,7296073384144,0.936257910275699,0.0156209690670683,3,1
937,7296073220176,7296073384137,0.925980852122568,0.0152970340388517,15,2
938,7296073220176,7296073220480,0.908269219741983,0.0518207607844794,24,3
939,7296073220480,7296073384137,0.917281499715833,0.013431508736989,20,1
940,7296073220480,7290016408294,0.860572239630142,0.0410046049124524,38,2
941,7296073220480,7296073384144,0.876911895925988,0.0966142916644803,31,3
942,7296073237631,7296073382355,0.88505605264293,0.11456079658142,30,1
943,7296073237631,7296073237655,0.841485500384502,0.061162062210479,3,2
944,7296073237631,7296073413769,0.845117776627893,0.157914736009848,10,3
945,7296073237655,7296073237631,0.830494926091495,0.0560614297521706,5,1
946,7296073237655,7296073382386,0.845642162331184,0.132615690525103,54,2
947,7296073237655,7296073382355,0.82061012703897,0.0841871555554299,6,3
948,7296073237662,7296073237655,0.756425343842955,0.207677966123509,19,1
949,7296073237662,7296073413776,0.71888100550178,0.174896768766141,21,2
950,7296073237662,7290104067198,0.570252166612199,0.079469421620004,13,3
951,7296073259886,7296073141143,0.669474420268413,0.119412692665354,5,1
952,7296073259886,7296073146957,0.599941756615178,0.0516009816247803,3,2
953,7296073259886,8747424,0.540416003500449,0.246222417863968,14,3
954,7296073259909,7296073146957,0.68004083967774,0.0596019973174175,5,1
955,7296073259909,7296073146940,0.593253485766671,0.0134351308714509,4,2
956,7296073259909,7296073141143,0.532440093396539,0.0240731466225166,7,3
957,7296073259916,7296073141143,0.661145447234195,0.121272743330373,9,1
958,7296073259916,7296073259886,0.675036694865513,0.262788147323136,5,2
959,7296073259916,7296073259909,0.613972868793128,0.203207547174874,9,3
960,7296073271437,7296073413721,0.789591252795041,0.0489983455032258,6,1
961,7296073271437,7296073237662,0.77038054618089,0.149459346850301,11,2
962,7296073271437,7296073413776,0.6597566549194,0.207148750995486,4,3
963,7296073322979,7296073204640,0.644048145955969,0.0203774614967766,57,1
964,7296073346715,7296073346753,0.772520792869,0.28244212024619,5,1
965,7296073346715,7296073346746,0.686618536105202,0.277064237585555,25,2
966,7296073346715,7296073346739,0.651846764319172,0.297744676933218,9,3
967,7296073346722,7296073346753,0.808267595653885,0.233136800386876,24,1
968,7296073346722,7296073346739,0.758684500110651,0.256545899333599,11,2
969,7296073346722,7296073346746,0.474050979569008,0.369386465250619,5,3
970,7296073346739,7296073346753,0.796806880597711,0.153202327245957,5,1
971,7296073346739,7296073346715,0.772842842842937,0.271654994540417,32,2
972,7296073346739,7296073346722,0.74656080309734,0.283277055351799,17,3
