,,Correct,Correct
,,CountCorrect,AvgCorrect
Product,ProductSubs,,
161631,161648,45,0.9333333333333333
161631,7290112497918,24,0.9166666666666666
161631,72909799,86,0.8837209302325582
161648,161631,71,0.9859154929577465
161648,72909799,68,0.9411764705882353
161648,7290112497918,31,0.9354838709677419
170053,8750400,3,1.0
170053,7290107947992,4,1.0
170053,7290112349651,3,1.0
170077,170053,5,1.0
170077,5197635,4,1.0
170077,7290100852576,21,0.9047619047619048
170275,8747424,16,1.0
170275,8753982,6,1.0
170275,7290112351104,12,1.0
171470,7290105361707,54,0.9629629629629629
171470,7290106658479,14,0.9285714285714286
171470,72917367,48,0.875
178134,7290100852576,137,0.9781021897810219
178134,5197635,156,0.9487179487179487
178134,170077,55,0.8545454545454545
179445,7290106721906,5,1.0
179445,7290112335043,3,1.0
179445,7290102035007,7,0.8571428571428571
180212,7290112351098,19,0.8947368421052632
180212,170077,139,0.8273381294964028
180212,7296073156628,30,0.8
490311,6681553,11,0.8181818181818182
490311,490779,5,0.8
490779,6681560,5,1.0
490779,6681553,4,0.75
490779,490311,28,0.5357142857142857
1814222,8747424,23,1.0
1814222,8750400,5,1.0
1814222,7290112349651,3,1.0
1817063,7290111352935,30,0.4
1817063,8001003100164,13,0.38461538461538464
2752332,87108538,7,0.8571428571428571
2752332,87108712,5,0.8
2752332,87311396,24,0.75
2752349,87108019,9,0.8888888888888888
2752493,80050124,7,1.0
2752493,2753223,13,0.5384615384615384
2753223,80050025,4,0.5
3143276,7290016408294,14,1.0
3143276,7296073220480,4,1.0
3143276,7296073384144,3,1.0
3144068,3145539,35,0.9142857142857143
3144068,7290100852576,8,0.75
3144068,7290100859162,8,0.75
3144600,3145539,11,1.0
3144600,3144068,5,0.6
3144600,5197635,5,0.6
3145539,5197635,3,1.0
3145539,3144068,44,0.9090909090909091
3145539,7296073202479,3,0.6666666666666666
3423909,171470,7,1.0
3423909,40111216,3,1.0
3423909,5000159459228,9,1.0
3444009,40052403,9,1.0
3444009,72909799,3,1.0
3444009,72917367,4,1.0
3903955,170053,45,1.0
3903955,1814222,11,1.0
3903955,8747424,12,1.0
4014407,5000159020312,4,1.0
4014407,4043205,24,0.9583333333333334
4014407,40000494805,67,0.9402985074626866
4022309,4014407,21,0.8571428571428571
4022309,4043205,29,0.6896551724137931
4022309,40000514510,3,0.6666666666666666
4043108,4043205,86,0.8604651162790697
4043108,4022309,73,0.8356164383561644
4043108,40000514480,86,0.8255813953488372
4043205,4014407,17,1.0
4043205,4022309,31,0.8387096774193549
4043205,40000514510,38,0.7894736842105263
5197628,7290104720536,31,0.967741935483871
5197628,170053,38,0.868421052631579
5197628,7296073202493,40,0.65
5197635,7290104720536,5,1.0
5197635,7290100852576,84,0.9761904761904762
5197635,178134,51,0.9607843137254902
5199288,8754415,3,1.0
5199288,7290104060403,4,1.0
5199288,7290104068539,20,0.9
5199738,8754422,12,0.9166666666666666
5199738,8754415,8,0.625
5200908,170053,4,1.0
5200908,4000417222008,3,1.0
5200908,7290112351623,37,0.918918918918919
6681553,66318,3,1.0
6681553,490779,5,1.0
6681553,490311,467,0.5160599571734475
6681560,490311,30,0.6333333333333333
6681560,6681553,253,0.6047430830039525
6681560,490779,93,0.5268817204301075
8470759,4009900013581,14,0.7142857142857143
8470759,8470766,12,0.5
8470766,4009900385824,6,0.5
8470766,8470759,10,0.4
8747424,8750677,3,1.0
8747424,7290112348548,3,1.0
8747424,7290112349651,6,1.0
8747431,72917893,5,1.0
8747431,7290112348234,4,1.0
8747431,8747424,18,0.9444444444444444
8748384,7296073161493,4,1.0
8748384,170077,6,0.8333333333333334
8748384,7290105961525,78,0.8333333333333334
8750264,7290104060403,4,1.0
8750264,5199288,8,0.875
8750264,7290104068539,38,0.8157894736842105
8750400,8753982,4,1.0
8750400,4025700001962,4,1.0
8750400,7290112348548,26,1.0
8753982,1814222,7,1.0
8753982,8750400,13,1.0
8753982,7290112348548,4,1.0
8754415,5199288,3,1.0
8754415,5199738,11,0.9090909090909091
8754415,7290106721920,7,0.8571428571428571
8754422,5199738,19,1.0
8754422,8754415,10,0.8
8754422,8750264,3,0.6666666666666666
40052403,3800020491393,6,1.0
40052403,5000159459228,5,1.0
40052403,5000189974579,16,0.9375
40084107,8000500026731,9,1.0
40084107,80974482,24,0.8333333333333334
40084107,80768258,13,0.7692307692307693
40111216,5000159459228,4,1.0
40111216,5000159461122,8,1.0
40111216,5000159486972,3,1.0
40345123,2752332,4,1.0
40345123,40000514510,5,1.0
40345123,7613035500877,15,1.0
42101666,42306788,3,1.0
42182108,42182115,8,0.75
42182108,42188889,6,0.16666666666666666
42182108,4009900385824,4,0.0
42182115,42182108,4,1.0
42182115,42188889,4,0.75
42188889,4009900512350,7,0.5714285714285714
42188889,42182115,8,0.375
42212119,4009900385824,6,0.3333333333333333
50312351,161648,3,1.0
50312351,72909799,3,1.0
50312351,72917589,4,0.75
72909799,3800020491393,3,1.0
72909799,7290112495556,3,1.0
72909799,161631,88,0.8977272727272727
72917367,72917589,4,1.0
72917367,3800020423578,4,1.0
72917367,7290106658479,5,1.0
72917589,171470,8,1.0
72917589,8747431,3,1.0
72917589,72918388,6,1.0
72917893,72909799,3,1.0
72917893,72991008,5,1.0
72917893,7290106665491,11,0.7272727272727273
72918388,72917589,14,1.0
72918388,5000159459228,4,1.0
72918388,72917367,38,0.9473684210526315
72991008,72917893,19,0.8421052631578947
72993767,7290110567309,3,1.0
80001027,8000380106028,5,0.8
80001287,80001027,5,1.0
80001287,80001461,14,1.0
80001287,5000159461122,3,1.0
80001461,80001027,4,1.0
80001461,80001287,7,1.0
80001461,5000159461122,4,1.0
80050025,8000500338827,3,1.0
80050025,80936848,4,0.75
80050124,80936848,5,0.8
80050124,8000500338827,5,0.8
80050124,80050025,6,0.6666666666666666
80050278,4101730002718,3,1.0
80050278,5000159459228,3,1.0
80050278,8000500192801,38,0.9736842105263158
80052760,80177609,10,1.0
80052760,80177616,5,1.0
80052760,5000159461122,3,1.0
80136194,8000500167656,3,1.0
80136194,8000500023624,296,0.9527027027027027
80136194,8000500071083,8,0.5
80177609,80761761,3,1.0
80177609,9800800056,3,1.0
80177609,8000500167656,4,1.0
80177616,8000500071083,168,0.9523809523809523
80177616,80177609,59,0.8983050847457628
80177616,80310167,43,0.8837209302325582
80310167,80177616,101,0.8910891089108911
80310167,8000500167656,86,0.8255813953488372
80310167,8000500071083,110,0.8090909090909091
80761761,80177609,9,1.0
80761761,8000500249352,3,1.0
80761761,80052760,680,0.9632352941176471
80762362,80828174,5,1.0
80768258,80974482,13,0.8461538461538461
80768258,40084107,5,0.8
80768890,80850885,5,1.0
80768890,80804697,5,0.8
80769545,80948698,7,1.0
80769699,80850885,5,0.6
80773429,80913467,4,1.0
80773429,80790990,47,0.8936170212765957
80773429,80948698,9,0.8888888888888888
80773443,8754415,4,1.0
80773443,80850885,5,1.0
80773443,80790990,8,0.875
80776307,80790990,28,0.8571428571428571
80776307,80773429,5,0.8
80776307,80780595,3,0.6666666666666666
80780595,80773443,16,0.8125
80780595,80850885,3,0.6666666666666666
80780595,80794233,14,0.6428571428571429
80790990,80896081,6,0.8333333333333334
80790990,80769545,4,0.75
80790990,80773429,24,0.7083333333333334
80794233,80913467,19,0.6842105263157895
80794233,80780595,15,0.6666666666666666
80804697,80828174,5,1.0
80804697,80768890,6,0.5
80804697,7290112349897,3,0.0
80828174,80762362,16,0.6875
80831402,80854753,4,0.75
80850885,80762362,6,1.0
80850885,80828174,9,0.7777777777777778
80854753,80831402,26,0.6538461538461539
80896081,80773443,4,1.0
80896081,80790990,5,1.0
80896081,80773429,16,0.8125
80913467,80773443,9,1.0
80913467,80790990,7,1.0
80913467,5199738,3,0.6666666666666666
80926481,80896081,24,0.75
80926481,80974215,3,0.6666666666666666
80936848,8000500338827,28,0.7857142857142857
80936848,80050025,44,0.6363636363636364
80936848,80050124,31,0.45161290322580644
80948698,80790990,4,1.0
80948698,80896081,4,1.0
80948698,80773429,7,0.8571428571428571
80974215,80926481,4,0.75
80974215,80773429,34,0.6764705882352942
80974215,80776307,15,0.5333333333333333
80974482,80768258,13,0.8461538461538461
80974482,40084107,7,0.5714285714285714
87108019,2752349,3,1.0
87108538,2752332,34,0.8529411764705882
87108538,87311396,7,0.7142857142857143
87108538,2752349,3,0.6666666666666666
87108651,87108712,4,0.0
87108712,2752332,17,0.8235294117647058
87108712,87108651,37,0.7027027027027027
87311396,2752332,91,0.8901098901098901
87311396,87108538,24,0.7916666666666666
9800800056,8032880800243,15,0.6
9800800056,80052760,4,0.5
25675120006,25675120037,54,0.9444444444444444
25675120006,25675120044,16,0.875
25675120006,25675120020,54,0.8518518518518519
25675120020,25675120006,8,0.875
25675120020,25675120037,19,0.8421052631578947
25675120020,25675120068,17,0.7647058823529411
25675120037,34000544028,6,1.0
25675120037,25675120068,27,0.9629629629629629
25675120037,25675120020,63,0.8888888888888888
25675120044,25675120037,6,1.0
25675120044,25675120020,11,0.9090909090909091
25675120068,25675120037,28,0.9642857142857143
25675120068,25675120006,12,0.9166666666666666
25675120068,25675120020,35,0.8571428571428571
31290140107,31290140190,3,1.0
31290140107,31290140237,6,0.6666666666666666
31290140176,31290140107,7,0.42857142857142855
31290140190,31290140251,4,1.0
31290140190,31290140237,14,0.9285714285714286
31290140190,31290140176,5,0.8
31290140237,31290140107,3,1.0
31290140237,31290140190,3,1.0
31290140237,8690766156367,3,1.0
31290140251,31290140237,4,0.75
34000544028,25675120037,15,0.7333333333333333
34000544028,8850632604259,3,0.6666666666666666
40000494805,5000159020312,4,1.0
40000494805,4043205,37,0.972972972972973
40000494805,40000514480,154,0.9415584415584416
40000512943,40000513056,7,0.42857142857142855
40000512943,4043108,3,0.0
40000513056,40000512943,6,0.8333333333333334
40000513056,40000514510,4,0.5
40000513056,4043205,11,0.2727272727272727
40000514480,40345123,4,1.0
40000514480,40000512943,15,1.0
40000514480,4043205,42,0.9047619047619048
40000514510,40000514480,100,0.96
40000514510,40000494805,82,0.9512195121951219
40000514510,4043205,134,0.9477611940298507
70970471254,70970473609,11,0.7272727272727273
70970473562,70970473609,3,0.3333333333333333
70970473609,70970473562,3,0.6666666666666666
70970473609,70970471254,14,0.6428571428571429
77245110610,7290112337474,7,0.7142857142857143
77245110610,7290112336651,3,0.6666666666666666
77245110610,7290112336644,30,0.6333333333333333
602652257834,5000159528320,15,0.8666666666666667
602652257834,602652176753,6,0.6666666666666666
3045140105502,3045140280902,4,1.0
3045140105502,7296073141143,4,1.0
3045140105502,7296073197461,3,1.0
3045140280902,3045140105502,9,1.0
3045140280902,7622300200237,3,1.0
3045140280902,7622300617820,3,1.0
3046920010047,3046920029681,3,1.0
3046920010047,3046920029780,3,1.0
3046920010047,7290105961525,3,1.0
3046920010801,180212,5,1.0
3046920010801,3046920029674,4,1.0
3046920010801,7610400091060,12,1.0
3046920016377,3046920028721,7,1.0
3046920016377,3046920029759,3,1.0
3046920028004,3046920028363,22,0.8181818181818182
3046920028004,3046920029780,109,0.8073394495412844
3046920028004,3046920010047,96,0.7916666666666666
3046920028363,3046920028004,3,1.0
3046920028363,3046920010047,15,0.8
3046920028363,3046920029681,28,0.7142857142857143
3046920028721,3046920029759,16,0.875
3046920028752,3046920028004,3,0.6666666666666666
3046920028752,7610400091060,10,0.6
3046920028752,3046920029674,4,0.5
3046920029674,3046920029759,8,0.875
3046920029674,3046920028363,33,0.8484848484848485
3046920029674,7610400091060,26,0.8076923076923077
3046920029681,3046920028363,24,0.8333333333333334
3046920029681,3046920029780,12,0.8333333333333334
3046920029759,3046920029681,5,1.0
3046920029759,7290112349668,9,1.0
3046920029759,3046920028363,63,0.8253968253968254
3046920029780,3046920028004,38,0.9473684210526315
3046920029780,3046920029681,28,0.8214285714285714
3046920029780,3046920010047,4,0.5
3800020423578,171470,7,1.0
3800020423578,40052403,12,1.0
3800020423578,72917367,9,1.0
3800020491393,171470,3,1.0
3800020491393,40052403,13,1.0
3800020491393,72917329,3,1.0
4000417019004,4000417222008,9,0.8888888888888888
4000417019004,4000417224002,23,0.7391304347826086
4000417019004,4000417025005,4,0.5
4000417025005,5200908,27,0.9629629629629629
4000417025005,4000417022004,20,0.95
4000417025005,4000417224002,59,0.9491525423728814
4000417222008,4025700001023,3,1.0
4000417222008,4000417019004,43,0.8837209302325582
4000417222008,4000417025005,46,0.8695652173913043
4000417224002,4000417938008,8,0.75
4000417224002,4000417019004,111,0.5765765765765766
4000417224002,4000417222008,5,0.4
4000417454300,4000417651105,4,0.75
4000417938008,4000417019004,4,1.0
4000417938008,4000417224002,7,0.5714285714285714
4008400208220,80310167,3,0.6666666666666666
4008400208220,8000500217740,7,0.5714285714285714
4008400208220,8000500256213,3,0.3333333333333333
4008400230726,80974482,3,1.0
4008400230726,8000500026731,11,0.7272727272727273
4008400230726,80768258,4,0.5
4008400284620,5413548280189,21,0.9047619047619048
4008400284620,4008400208220,21,0.8571428571428571
4008400284620,8000500217740,64,0.828125
4009900013581,8470759,3,1.0
4009900013581,4009900487283,6,1.0
4009900013581,4009900385824,31,0.8387096774193549
4009900385824,4009900013581,23,0.8695652173913043
4009900385824,4009900420129,3,0.3333333333333333
4009900402965,4009900458504,55,0.8363636363636363
4009900402965,4009900403023,9,0.7777777777777778
4009900402965,4009900525138,3,0.6666666666666666
4009900403023,5199738,4,1.0
4009900403023,4009900420129,71,0.8450704225352113
4009900403023,4009900458504,24,0.7916666666666666
4009900406918,4009900379564,4,1.0
4009900412056,4009900458504,7,1.0
4009900412056,4009900479998,3,1.0
4009900412056,4009900525138,11,1.0
4009900420129,4009900482417,6,1.0
4009900420129,4009900484091,3,1.0
4009900420129,4009900484305,6,1.0
4009900426039,80828174,3,1.0
4009900426039,7290106721920,3,1.0
4009900426039,4009900483803,14,0.7142857142857143
4009900426121,4009900491044,9,0.8888888888888888
4009900426121,42306788,5,0.8
4009900426121,4009900426039,10,0.7
4009900455299,4009900465304,40,0.95
4009900455299,4009900532327,3,0.6666666666666666
4009900455299,5000159376655,5,0.6
4009900458504,4009900420129,4,1.0
4009900458504,4009900525138,4,1.0
4009900458504,4009900535632,9,1.0
4009900465304,4043205,5,1.0
4009900465304,7613035500877,4,1.0
4009900465304,4009900455299,12,0.9166666666666666
4009900479998,4009900426121,3,1.0
4009900479998,4009900458504,3,1.0
4009900479998,4009900504218,4,1.0
4009900482417,4009900458504,3,1.0
4009900482417,4009900403023,7,0.8571428571428571
4009900482417,4009900420129,6,0.8333333333333334
4009900483803,4009900426039,8,1.0
4009900483803,4009900491044,4,0.5
4009900484060,4009900420129,9,0.8888888888888888
4009900484060,4009900484305,17,0.8235294117647058
4009900484060,4009900484091,9,0.7777777777777778
4009900484091,80768890,5,1.0
4009900484091,4009900531122,17,0.8823529411764706
4009900484091,4009900484305,4,0.75
4009900484305,4009900484091,5,0.8
4009900484305,4009900403023,4,0.5
4009900484305,4009900420129,4,0.5
4009900487283,4009900482417,5,0.8
4009900487283,4009900013581,11,0.6363636363636364
4009900487283,4009900385824,6,0.3333333333333333
4009900491044,4009900426121,4,0.75
4009900496247,4009900482417,3,1.0
4009900504218,4009900458504,7,1.0
4009900504218,4009900402965,21,0.8571428571428571
4009900504218,4009900535632,20,0.7
4009900509770,4009900496247,3,1.0
4009900509992,4009900426039,6,1.0
4009900512329,7290106721920,3,1.0
4009900512329,4009900523288,18,0.7222222222222222
4009900512329,7290107937627,3,0.6666666666666666
4009900512350,4009900512329,11,0.6363636363636364
4009900512350,4009900523288,36,0.4166666666666667
4009900512350,42188889,6,0.3333333333333333
4009900521581,4009900420129,4,1.0
4009900523288,4009900512329,3,0.3333333333333333
4009900525138,4009900458504,8,1.0
4009900525138,4009900479998,16,1.0
4009900525138,4009900531122,3,1.0
4009900531122,80850885,5,1.0
4009900531122,4009900412056,4,1.0
4009900531122,7290107937627,3,1.0
4009900532327,4014407,4,1.0
4009900532327,40345123,5,1.0
4009900532327,7290106657748,6,1.0
4009900535632,4009900458504,6,1.0
4009900535632,4009900504218,16,1.0
4009900535632,4009900402965,8,0.875
4009900536486,4009900482417,5,0.8
4014400900217,4014400901191,39,0.6923076923076923
4014400901191,4014400900217,3,1.0
4014400901191,4014400901405,3,1.0
4014400901405,4014400900217,3,1.0
4014400901405,4014400901191,10,0.8
4014400901412,4014400901191,5,0.8
4014400901788,4014400910063,3,0.0
4014400903409,4014400923711,25,0.8
4014400904376,4014400920857,3,1.0
4014400904376,7290111352935,3,1.0
4014400904376,7290112337481,3,1.0
4014400907902,4014400914696,4,0.5
4014400910063,4014400920857,13,0.6923076923076923
4014400910063,4014400914924,3,0.6666666666666666
4014400910063,4014400914696,34,0.5882352941176471
4014400914696,4014400914924,22,0.7727272727272727
4014400914696,4014400910063,13,0.6923076923076923
4014400914696,4014400920857,26,0.46153846153846156
4014400914924,4014400914696,21,0.8571428571428571
4014400914924,4014400920857,20,0.75
4014400920857,4014400914696,15,0.5333333333333333
4014400920857,4014400914924,17,0.47058823529411764
4014400923711,5000159462594,3,1.0
4014400923711,4014400903409,3,0.6666666666666666
4025700001023,7290112351098,9,1.0
4025700001023,7616500642577,3,1.0
4025700001023,7622210163899,3,1.0
4025700001962,3045140280902,4,1.0
4025700001962,4025700001023,6,1.0
4025700001962,7290112348548,7,1.0
4101730002718,4101730040024,3,1.0
4101730002718,8000500037874,4,1.0
4101730002718,8000500023976,5,0.8
4101730003555,4101730040024,3,0.6666666666666666
4101730003555,4101730040048,3,0.6666666666666666
4101730040024,4101730040017,3,1.0
4101730040024,4101730040093,11,1.0
4101730040024,7616500666092,3,1.0
4101730040093,4101730040024,14,1.0
4101730040093,4101730040048,25,0.96
5000159020312,5000159459228,5,1.0
5000159020312,7290112494276,5,1.0
5000159020312,5000159376655,7,0.8571428571428571
5000159376655,2752332,3,1.0
5000159376655,4022309,7,1.0
5000159376655,4043205,4,1.0
5000159376792,5000159376655,33,0.8787878787878788
5000159376792,4009900532327,47,0.7446808510638298
5000159376792,40000514510,6,0.6666666666666666
5000159407236,40111216,5,1.0
5000159407236,5000159459228,5,1.0
5000159407236,5000159461122,24,1.0
5000159409179,5000159442572,12,0.75
5000159409179,5000159452977,9,0.5555555555555556
5000159409179,5000159468534,17,0.5294117647058824
5000159442572,5000159409179,22,0.7272727272727273
5000159442572,5000159492317,10,0.7
5000159442572,5000159462594,32,0.40625
5000159452977,5000189974579,3,1.0
5000159452977,7290100850336,11,1.0
5000159452977,7290106720695,3,1.0
5000159458771,5000159468534,3,0.6666666666666666
5000159458771,40111216,7,0.2857142857142857
5000159459228,40111216,3,1.0
5000159459228,5000159492317,5,1.0
5000159459228,5000159461122,24,0.9583333333333334
5000159461122,40111216,8,1.0
5000159461122,5000159407236,16,1.0
5000159461122,5000159459228,13,1.0
5000159462594,5000159468534,5,0.8
5000159462594,5000159459228,3,0.6666666666666666
5000159462594,5000159442572,8,0.5
5000159468510,5000159468534,9,0.7777777777777778
5000159468534,5000159458771,3,1.0
5000159468534,5000159468510,19,0.9473684210526315
5000159468534,5000159462594,7,0.5714285714285714
5000159486972,5000159461122,6,1.0
5000159486972,5000159459228,188,0.898936170212766
5000159492317,5000159442572,5,0.8
5000159492317,5000159462594,12,0.75
5000159492539,5000159461122,4,0.75
5000159516563,8719900516413,7,0.42857142857142855
5000159528481,5000159528320,3,1.0
5000189974579,5000159409179,4,1.0
5000189974579,7613036710879,76,0.8947368421052632
5000189974579,40052403,7,0.8571428571428571
5413548280189,4008400284620,9,0.8888888888888888
5413548280189,8000500256213,6,0.6666666666666666
5413548280189,8000500217740,14,0.6428571428571429
7290010116348,7290100850411,12,1.0
7290010116348,7290106665507,4,1.0
7290010116348,7290100850459,44,0.9318181818181818
7290015139229,7296073389163,3,1.0
7290016408294,7296073384137,52,0.9038461538461539
7290016408294,7296073220176,57,0.8421052631578947
7290016408294,3143276,132,0.6590909090909091
7290100249086,161648,5,0.8
7290100249086,72909799,30,0.7666666666666667
7290100249086,161631,7,0.7142857142857143
7290100850336,5000189974579,3,1.0
7290100850336,7290100850466,103,0.912621359223301
7290100850336,7290100850343,10,0.9
7290100850343,7290100858653,3,1.0
7290100850343,7290106665507,56,0.9285714285714286
7290100850343,7290100850466,4,0.75
7290100850411,5000159409179,5,1.0
7290100850411,5000159442572,3,1.0
7290100850411,7290100858653,19,1.0
7290100850459,5000159452977,7,1.0
7290100850459,7290100850336,11,1.0
7290100850459,7290106665507,53,0.9811320754716981
7290100850466,7290102033911,12,1.0
7290100850466,7290107951586,4,1.0
7290100850466,7290100850336,210,0.8333333333333334
7290100852576,180212,3,1.0
7290100852576,3144068,6,1.0
7290100852576,7296073161493,9,1.0
7290100854266,7290100859162,6,1.0
7290100854266,7296073141150,3,1.0
7290100854266,8748384,16,0.75
7290100857045,7290105961525,7,0.8571428571428571
7290100857045,8748384,59,0.8305084745762712
7290100857045,3046920029780,3,0.6666666666666666
7290100858226,7290100858219,22,0.6818181818181818
7290100858226,7290103403874,39,0.6666666666666666
7290100858653,5000159452977,5,1.0
7290100858653,7290100850343,6,1.0
7290100858653,7290107951579,3,1.0
7290100859162,170077,3,1.0
7290100859162,3144068,4,1.0
7290100859162,7290100854266,72,0.8888888888888888
7290101980919,7296073378891,3,1.0
7290101980919,7296073388531,3,1.0
7290101980919,7296073388548,4,1.0
7290102035007,7290106721906,12,1.0
7290102035007,7290112332899,10,1.0
7290102035007,7290104068539,6,0.8333333333333334
7290103402815,3903955,3,1.0
7290103402815,7290103402853,7,1.0
7290103402815,8000500071083,11,1.0
7290103403874,7290100858226,9,1.0
7290103407223,80177616,3,1.0
7290103407223,7290112351128,4,1.0
7290103407223,8000500071083,7,1.0
7290103407506,72917589,4,1.0
7290104060403,7290112332899,3,1.0
7290104060403,7290104068539,6,0.8333333333333334
7290104060403,7290102035007,114,0.8070175438596491
7290104067198,7296073237662,39,0.6666666666666666
7290104067198,8748384,56,0.6607142857142857
7290104067198,7610400091060,13,0.46153846153846156
7290104068539,8750264,6,1.0
7290104068539,7290112340252,5,1.0
7290104068539,7290102035007,6,0.8333333333333334
7290104720536,7296073197461,86,0.9883720930232558
7290104720536,5197628,112,0.9553571428571429
7290104720536,7290100852576,16,0.9375
7290105361707,40052403,16,1.0
7290105361707,72917367,6,1.0
7290105361707,5000159486972,7,1.0
7290105363602,7290105364289,58,0.7241379310344828
7290105363602,7290105364302,56,0.6071428571428571
7290105364289,7290105363602,21,0.9047619047619048
7290105364289,7290105364302,21,0.7142857142857143
7290105364302,7290105364289,3,1.0
7290105961525,3046920029681,6,1.0
7290105961525,7290112349668,27,0.8518518518518519
7290105961525,7296073382355,21,0.8095238095238095
7290106521612,7290112495556,4,1.0
7290106521612,7290106521650,11,0.7272727272727273
7290106521612,7290106658479,7,0.7142857142857143
7290106521650,7290106521612,3,0.6666666666666666
7290106521650,7290112495556,4,0.25
7290106657748,4009900455299,7,0.5714285714285714
7290106657748,5000159376655,3,0.3333333333333333
7290106657748,4022309,3,0.0
7290106658479,72917589,3,1.0
7290106658479,72918388,8,0.875
7290106658479,72917367,15,0.8666666666666667
7290106665491,7290110567309,7,0.8571428571428571
7290106665491,7290112353399,6,0.8333333333333334
7290106665491,72917893,43,0.7441860465116279
7290106665507,7290102033911,3,1.0
7290106665507,7290107951586,4,1.0
7290106665507,7290107951579,104,0.9615384615384616
7290106720695,7290100850459,3,1.0
7290106720695,7290100850411,6,0.6666666666666666
7290106721906,7290104060403,7,1.0
7290106721906,7290107957069,9,1.0
7290106721906,7290112332899,33,0.9696969696969697
7290106721913,5199738,11,1.0
7290106721913,80828174,4,1.0
7290106721913,4009900484060,7,1.0
7290106721920,7290112340245,16,0.9375
7290106721920,7290107937627,35,0.8857142857142857
7290106721920,7290106721913,88,0.875
7290106727984,7290107931397,17,0.5882352941176471
7290107649605,170053,13,1.0
7290107649605,5200908,4,1.0
7290107649605,7290103402815,3,1.0
7290107931397,7290106727984,22,0.7727272727272727
7290107931397,7290105364302,11,0.7272727272727273
7290107932240,170053,3,1.0
7290107932240,8750400,3,1.0
7290107932240,7290107948029,17,1.0
7290107937627,4009900512329,4,1.0
7290107937627,7290107937634,20,1.0
7290107937627,7290112342379,26,0.8461538461538461
7290107937634,7290107937627,8,0.875
7290107937634,7290112349897,8,0.875
7290107937634,7290107951715,6,0.8333333333333334
