,,Correct,Correct
7290107937641,7290102035007,6,1.0
7290107937641,7290112332899,40,0.9
7290107937641,7290106721906,40,0.875
7290107944380,7290115670301,4,1.0
7290107944380,72917329,67,0.7313432835820896
7290107944380,72917367,18,0.5555555555555556
7290107944717,5000159452977,6,0.8333333333333334
7290107944717,7290100850411,3,0.6666666666666666
7290107944717,7290106521612,29,0.5862068965517241
7290107947992,7290107948029,8,0.875
7290107947992,7290107932240,23,0.6086956521739131
7290107947992,170053,6,0.16666666666666666
7290107948029,7290112351098,13,0.9230769230769231
7290107948029,7290107932240,5,0.8
7290107948029,7290112351210,3,0.6666666666666666
7290107951548,8750400,4,1.0
7290107951548,7290107947992,3,1.0
7290107951548,7290107948029,3,1.0
7290107951579,7290100850343,5,1.0
7290107951579,7290100850459,49,1.0
7290107951579,7290100850466,10,1.0
7290107951623,170053,3,1.0
7290107951623,8747424,3,1.0
7290107951623,7290107932240,3,1.0
7290107951630,170053,3,1.0
7290107951630,7290107951623,35,0.8285714285714286
7290107951630,7290107951548,71,0.7605633802816901
7290107951715,4009900479998,4,1.0
7290107951715,7290107937627,5,1.0
7290107951715,7290107937634,20,0.8
7290107957069,7290112340252,3,1.0
7290107957069,4009900479998,6,0.8333333333333334
7290107957069,7290106721906,9,0.7777777777777778
7290107958578,7290107958677,17,1.0
7290107958578,7290103407223,70,0.9285714285714286
7290107958578,7290103402815,66,0.8939393939393939
7290110567309,72917893,25,0.52
7290111350986,7290111353239,5,0.6
7290111350986,7290111353109,8,0.5
7290111351402,7290111351419,14,0.8571428571428571
7290111351402,7290112352699,9,0.5555555555555556
7290111351419,7290111351402,5,1.0
7290111351419,7290112352699,8,0.875
7290111352935,8001003100164,28,0.75
7290111352935,7702174070201,3,0.6666666666666666
7290111352935,1817063,41,0.6097560975609756
7290111352959,25675120037,10,1.0
7290111352959,8693323085100,17,1.0
7290111352959,8850632604259,4,1.0
7290111352966,8683323063024,30,0.8666666666666667
7290111352966,7290111352973,20,0.8
7290111352966,8693323084028,13,0.7692307692307693
7290111352973,8683323063024,3,1.0
7290111352973,7290111352966,9,0.7777777777777778
7290111353055,7290111353079,20,0.95
7290111353055,7290111353239,27,0.8148148148148148
7290111353055,7290111353109,48,0.7916666666666666
7290111353079,7290111353154,51,0.9019607843137255
7290111353079,7290111353147,23,0.782608695652174
7290111353079,7290111353055,15,0.6666666666666666
7290111353109,7290111353154,16,1.0
7290111353109,7290111353123,15,0.9333333333333333
7290111353109,7290111353055,33,0.9090909090909091
7290111353123,7290111353239,3,1.0
7290111353123,7290111353109,35,0.8571428571428571
7290111353123,7290111350986,3,0.3333333333333333
7290111353147,7290111353154,11,0.6363636363636364
7290111353147,7290111353079,4,0.25
7290111353154,7290111353079,30,0.9
7290111353154,7290111353147,68,0.8970588235294118
7290111353154,7290111353123,4,0.75
7290111353239,7290111353109,9,0.6666666666666666
7290111353239,7290111353055,19,0.631578947368421
7290111353239,7290111350986,6,0.0
7290111353383,87108712,7,0.8571428571428571
7290111353383,7290111353376,20,0.65
7290112332899,7290112337450,31,0.9354838709677419
7290112332899,7290112349316,15,0.9333333333333333
7290112332899,7290106721906,9,0.8888888888888888
7290112335043,7296073384144,3,1.0
7290112335043,7290016408294,150,0.78
7290112335043,3143276,24,0.6666666666666666
7290112335111,7290107937641,6,0.8333333333333334
7290112335111,7290106721906,4,0.75
7290112335111,7290112332899,12,0.6666666666666666
7290112335999,7290112344007,7,1.0
7290112335999,7290112344793,5,0.8
7290112336644,77245110610,24,0.9583333333333334
7290112336644,7290112336651,5,0.8
7290112336644,7290112337474,18,0.5
7290112336651,7290112337474,3,1.0
7290112336651,7290112337481,7,0.8571428571428571
7290112336651,7290112336644,4,0.75
7290112337474,77245110610,24,0.875
7290112337474,7290112336651,22,0.8181818181818182
7290112337474,7290112337481,3,0.6666666666666666
7290112337481,7290112336644,3,1.0
7290112337481,7290112336651,11,0.6363636363636364
7290112340245,8750264,5,1.0
7290112340245,7290106721906,3,1.0
7290112340245,7290106721913,3,1.0
7290112340252,7290104068539,3,1.0
7290112340252,7290106721920,4,1.0
7290112340252,7290112340245,13,0.7692307692307693
7290112341594,7290112341617,11,0.7272727272727273
7290112341594,7290112341600,14,0.42857142857142855
7290112341600,8748384,3,0.6666666666666666
7290112341600,7290112341617,7,0.5714285714285714
7290112341617,7290112341594,8,0.75
7290112341617,7290112341600,8,0.75
7290112341631,8748384,4,0.5
7290112341631,7296073413721,3,0.3333333333333333
7290112341921,7290107951715,9,0.8888888888888888
7290112341921,7290107937641,3,0.6666666666666666
7290112341921,7290107937627,7,0.5714285714285714
7290112342379,7290107937627,4,1.0
7290112342379,7290112342386,13,1.0
7290112342379,80850885,3,0.6666666666666666
7290112342386,80828174,3,0.6666666666666666
7290112344007,7290112335999,3,1.0
7290112344007,7290112344793,3,0.6666666666666666
7290112344793,7290112335999,13,0.9230769230769231
7290112344793,7290112344007,8,0.625
7290112345356,4009900013581,6,0.5
7290112345363,7290112345356,3,0.3333333333333333
7290112347602,7290112347619,6,0.8333333333333334
7290112347602,7290112349279,3,0.6666666666666666
7290112347619,7290112349279,5,1.0
7290112348234,72917893,11,1.0
7290112348234,7290110567309,3,1.0
7290112348234,7290112350350,14,0.5714285714285714
7290112348241,7290112350350,10,0.7
7290112348241,72917893,6,0.6666666666666666
7290112348241,7290110567309,3,0.3333333333333333
7290112348548,170275,7,1.0
7290112348548,7290112351104,3,1.0
7290112348548,7290112351128,3,1.0
7290112349279,7290112347619,22,0.9090909090909091
7290112349279,7290112347602,11,0.8181818181818182
7290112349316,7290112332899,5,0.8
7290112349316,7290112335111,6,0.5
7290112349651,7290112351098,9,1.0
7290112349651,7290112351104,6,1.0
7290112349651,7290112351197,42,1.0
7290112349668,8690766156381,4,1.0
7290112349668,7290105961525,172,0.7965116279069767
7290112349668,7296073382416,41,0.7317073170731707
7290112349897,7290107937634,12,0.9166666666666666
7290112349897,80804697,4,0.25
7290112350350,72917893,21,0.7142857142857143
7290112350350,7290110567309,3,0.6666666666666666
7290112350350,7290112348241,8,0.625
7290112351098,8750400,7,1.0
7290112351098,7290107948029,14,1.0
7290112351098,7290112351210,3,1.0
7290112351104,7290112351210,6,1.0
7290112351104,7296073259909,3,1.0
7290112351104,170053,40,0.975
7290112351128,8750400,12,1.0
7290112351128,3045140105502,3,1.0
7290112351128,7290100850008,10,1.0
7290112351197,170053,3,1.0
7290112351197,7290112351098,8,1.0
7290112351197,7290112351210,12,1.0
7290112351210,7290112351197,28,0.9642857142857143
7290112351210,7290112349651,29,0.9310344827586207
7290112351210,3903955,5,0.8
7290112351463,7290112357892,18,0.8888888888888888
7290112351463,7290112351470,40,0.75
7290112351470,7290112357892,16,1.0
7290112351470,7290112351463,45,0.9555555555555556
7290112351470,7290112337474,3,0.6666666666666666
7290112351623,4000417025005,4,1.0
7290112351623,7290107951548,6,1.0
7290112351623,7290107951623,4,1.0
7290112352699,7290100850411,4,1.0
7290112352699,7290106665507,4,1.0
7290112352699,7290111351419,8,0.875
7290112352705,7290112352699,6,1.0
7290112353399,72917367,4,1.0
7290112353399,8747431,3,0.6666666666666666
7290112353399,72909799,6,0.6666666666666666
7290112357618,80948698,3,1.0
7290112357618,4009900504218,4,1.0
7290112357618,7290104068539,3,1.0
7290112357892,7290112351463,10,0.9
7290112357892,7290112351470,10,0.7
7290112358011,7290112358028,5,0.4
7290112358028,7290112358011,4,1.0
7290112490124,8753982,4,1.0
7290112490124,7290112494221,3,1.0
7290112490124,7290112494238,4,1.0
7290112491541,3144068,9,1.0
7290112491541,7290100852576,3,1.0
7290112491541,7290100859162,3,1.0
7290112493163,7290112494276,8,1.0
7290112494221,7290107649605,3,1.0
7290112494221,7290112494276,305,0.9934426229508196
7290112494221,7290112494313,114,0.9824561403508771
7290112494238,7290112349279,3,1.0
7290112494238,7290112494276,37,1.0
7290112494238,7290112494283,60,1.0
7290112494276,72909799,4,1.0
7290112494276,7290112347619,4,1.0
7290112494276,7290112494313,119,0.9915966386554622
7290112494283,72909799,3,1.0
7290112494283,7290107649605,4,1.0
7290112494283,7290112347619,4,1.0
7290112494290,7290112494221,10,1.0
7290112494290,7290112494276,5,0.8
7290112494313,72909799,3,1.0
7290112494313,7290112494283,139,1.0
7290112494313,7290112494276,212,0.9858490566037735
7290112495273,7290112493163,6,1.0
7290112495273,7290112494221,56,1.0
7290112495273,7290112494238,17,1.0
7290112495556,7290106521612,3,1.0
7290112495556,7290106521650,41,0.9512195121951219
7290112495556,72909799,43,0.9069767441860465
7290112495563,5197635,3,1.0
7290112495563,7296073197478,4,0.75
7290112495563,7290100852576,4,0.25
7290112497918,161648,64,0.96875
7290112497918,72909799,131,0.9236641221374046
7290112497918,161631,64,0.84375
7290115670264,7290112351593,4,0.5
7290115670301,40111216,9,1.0
7290115670301,7290112353399,8,0.625
7296073141143,7296073197461,4,1.0
7296073141150,7296073197478,3,1.0
7296073141150,7296073156611,6,0.8333333333333334
7296073141150,7296073161493,3,0.0
7296073146933,7290100854266,4,0.5
7296073146933,7296073141150,25,0.44
7296073146933,170077,5,0.4
7296073146940,7296073141143,23,0.782608695652174
7296073146940,7296073146933,4,0.5
7296073146940,8753982,13,0.46153846153846156
7296073146957,7296073156604,4,0.75
7296073150756,7296073161509,7,0.8571428571428571
7296073156604,7296073146957,7,0.8571428571428571
7296073156611,7290100854266,3,1.0
7296073156611,7296073161493,4,1.0
7296073161493,7290100852576,5,1.0
7296073161493,7290100854266,3,1.0
7296073161493,7296073161516,3,1.0
7296073161509,7296073150756,18,0.9444444444444444
7296073161509,7296073197461,5,0.6
7296073161516,7296073197478,12,0.8333333333333334
7296073161516,7296073161493,4,0.75
7296073161516,7296073156628,4,0.5
7296073170839,7296073171126,19,0.9473684210526315
7296073170839,7296073141143,21,0.9047619047619048
7296073170839,7290112348548,27,0.8518518518518519
7296073171126,7296073170839,25,0.84
7296073171126,4025700001962,19,0.7894736842105263
7296073171126,7290112348548,10,0.7
7296073197461,7290104720536,3,1.0
7296073197461,7296073171126,3,1.0
7296073197461,7296073141143,10,0.9
7296073197478,7296073141150,17,0.7647058823529411
7296073197478,7290112495563,4,0.75
7296073197478,7296073161493,56,0.7321428571428571
7296073202479,7290100852576,3,1.0
7296073202479,7296073197478,129,0.937984496124031
7296073202479,5197635,29,0.8620689655172413
7296073202493,7296073150756,3,1.0
7296073202493,7296073197461,50,0.9
7296073202493,5197628,4,0.5
7296073220176,7296073384144,3,1.0
7296073220176,7296073220480,24,0.9166666666666666
7296073220176,7290016408294,38,0.8947368421052632
7296073220480,7290112335043,5,1.0
7296073220480,7296073384137,20,1.0
7296073220480,7296073384144,31,0.967741935483871
7296073237631,7296073382355,30,0.9666666666666667
7296073237631,7296073413769,10,0.9
7296073237631,7296073382386,4,0.75
7296073237655,3046920028004,3,1.0
7296073237655,7290105961525,5,1.0
7296073237655,7296073237631,5,1.0
7296073237662,7610400091060,27,0.8888888888888888
7296073237662,7296073237655,19,0.8421052631578947
7296073237662,7296073413776,21,0.8095238095238095
7296073259886,8747424,14,1.0
7296073259886,7296073141143,5,0.6
7296073259886,7296073146957,3,0.0
7296073259909,7296073146957,5,1.0
7296073259909,7290112351104,3,0.6666666666666666
7296073259909,7296073156604,3,0.6666666666666666
7296073259916,7296073156604,3,1.0
7296073259916,7296073259886,5,1.0
7296073259916,7296073259909,9,1.0
7296073271437,7296073156628,4,1.0
7296073271437,7296073237655,11,1.0
7296073271437,7296073382355,6,1.0
7296073322979,7296073204640,57,0.631578947368421
7296073346715,7296073346753,5,1.0
7296073346715,7296073346746,25,0.96
7296073346715,7296073346739,9,0.8888888888888888
7296073346722,7296073346739,11,1.0
7296073346722,7296073346746,5,1.0
7296073346722,7296073346753,24,0.9166666666666666
7296073346739,7296073346722,17,1.0
7296073346739,7296073346753,5,1.0
7296073346739,7296073346746,28,0.9642857142857143
7296073346746,7296073346739,4,1.0
7296073346746,7296073346753,3,1.0
7296073346746,7296073346715,5,0.8
7296073346753,7296073346722,5,1.0
7296073346753,7296073346739,7,1.0
7296073348825,7296073237686,12,1.0
7296073373803,7296073373827,7,1.0
7296073373803,7296073373834,3,1.0
7296073373810,7290112494238,3,1.0
7296073373810,7290112494276,3,1.0
7296073373810,7296073373834,6,1.0
7296073373827,7296073373803,5,1.0
7296073373834,7296073373803,4,1.0
7296073373834,7296073373810,6,1.0
7296073373834,7296073373827,4,1.0
7296073373841,7296073373827,4,1.0
7296073378891,8000500026731,9,1.0
7296073378891,8002267014945,7,1.0
7296073378891,7296073388548,154,0.9805194805194806
7296073382355,7296073382416,12,0.9166666666666666
7296073382355,7296073237631,77,0.9090909090909091
7296073382355,7296073413769,42,0.9047619047619048
7296073382386,3046920028004,4,1.0
7296073382386,7296073413721,12,1.0
7296073382386,7296073237655,52,0.9615384615384616
7296073382416,7296073382355,104,0.9519230769230769
7296073382416,3046920029759,11,0.9090909090909091
7296073382416,7290112349668,32,0.78125
7296073384137,7296073384144,15,1.0
7296073384137,7290016408294,33,0.9090909090909091
7296073384137,7296073220176,7,0.8571428571428571
7296073384144,7296073384137,19,1.0
7296073384144,7296073220176,8,0.875
7296073384144,7290016408294,40,0.85
7296073388531,7290101980919,13,1.0
7296073388531,8000500026731,7,1.0
7296073388531,8002267014945,3,1.0
7296073388548,7296073378891,32,1.0
7296073388548,8002267014945,4,1.0
7296073388548,7290101980919,11,0.9090909090909091
7296073388821,7296073415039,3,0.3333333333333333
7296073388838,7296073388845,4,1.0
7296073388838,7296073388852,19,1.0
7296073388838,7296073415039,3,1.0
7296073388845,7296073415046,7,0.8571428571428571
7296073388845,7296073388852,8,0.75
7296073388845,7296073388821,3,0.6666666666666666
7296073388852,7296073388821,3,1.0
7296073388852,7296073388838,20,0.9
7296073388852,7296073415053,3,0.6666666666666666
7296073389163,7290015139229,7,1.0
7296073398509,7290103402815,44,0.8181818181818182
7296073398509,7290103407223,9,0.7777777777777778
7296073398509,8000500071083,38,0.7368421052631579
7296073403234,7296073403241,11,0.8181818181818182
7296073403241,7296073407737,3,1.0
7296073403241,7296073403234,8,0.875
7296073405450,7290016408294,5,0.6
7296073407737,7296073403234,5,0.8
7296073407737,7296073403241,39,0.717948717948718
7296073413721,3046920010047,3,1.0
7296073413721,7296073237631,3,1.0
7296073413721,7296073237655,5,1.0
7296073413769,7296073237631,8,1.0
7296073413769,7296073382355,24,0.9583333333333334
7296073413769,7296073413721,17,0.8235294117647058
7296073413776,7296073237655,7,1.0
7296073413776,7296073237662,3,0.6666666666666666
7296073413776,8748384,3,0.3333333333333333
7296073415039,7296073415053,16,0.8125
7296073415039,7296073388821,5,0.8
7296073415039,7296073415046,4,0.5
7296073415053,7296073415039,7,0.8571428571428571
7296073415053,7296073388821,4,0.75
7296073415053,7296073415046,4,0.75
7610400014649,4101730040048,4,1.0
7610400014649,7610400074155,16,0.75
7610400014649,7610400085946,3,0.6666666666666666
7610400068505,8003340098098,4,0.75
7610400068505,7610400087537,11,0.6363636363636364
7610400068505,7610400014649,19,0.631578947368421
7610400070577,3046920010801,4,1.0
7610400070577,3046920029674,4,1.0
7610400070577,7610400091060,3,0.6666666666666666
7610400074155,8748384,4,1.0
7610400074155,7290100854266,7,1.0
7610400074155,7610400014649,14,0.7142857142857143
7610400075770,180212,6,1.0
7610400075770,7296073156628,5,1.0
7610400075770,7616500666092,3,1.0
7610400075787,7610400085946,47,0.9574468085106383
7610400075787,7610400075770,45,0.8666666666666667
7610400075787,7616500666092,17,0.7058823529411765
7610400085946,7610400075770,20,0.75
7610400085946,7610400075787,20,0.65
7610400085946,7616500666092,5,0.6
7610400091060,3046920029681,7,0.8571428571428571
7610400091060,3046920010801,30,0.8333333333333334
7610400091060,7290104067198,45,0.7777777777777778
7613035500877,7613036710879,6,1.0
7613035500877,5000189974579,16,0.875
7613035500877,40000512943,5,0.8
7613036710879,5000189974579,42,0.9523809523809523
7613036710879,40052403,5,0.6
7616500642560,7616500664395,3,1.0
7616500642560,7616500642577,10,0.9
7616500642560,7622300200237,4,0.75
7616500642577,7616500647251,14,1.0
7616500642577,7616500647268,7,1.0
7616500642577,7622300200237,6,1.0
7616500642584,7616500642560,26,1.0
7616500642584,7616500642577,18,0.9444444444444444
7616500642584,7616500664395,9,0.7777777777777778
7616500647251,7610400075787,5,1.0
7616500647251,7616500642577,8,1.0
7616500647251,7616500666092,4,1.0
7616500647268,7296073156628,3,1.0
7616500647268,7610400075770,8,1.0
7616500647268,7610400075787,6,1.0
7616500647725,7610400075787,10,1.0
7616500647725,7610400085946,5,1.0
7616500647725,7616500642577,3,1.0
7616500664395,7616500642577,73,0.9863013698630136
7616500664395,7616500642560,30,0.9
7616500664395,7616500642584,14,0.8571428571428571
7616500666092,7610400075787,6,1.0
7616500666092,7616500647268,3,1.0
7616500666092,7616500642560,4,0.75
7616500671836,7616500642577,8,1.0
7622210078131,4025700001023,11,1.0
7622210078131,7290107951623,3,1.0
7622210078131,7622210820310,3,1.0
7622210163899,3045140105502,11,1.0
7622210163899,3045140280902,4,1.0
7622210163899,4025700001023,8,1.0
7622210597915,7622210656117,8,0.75
7622210645999,3045140105502,6,1.0
7622210645999,4025700001023,11,1.0
7622210645999,7622210646026,3,0.6666666666666666
7622210646026,3045140105502,10,1.0
7622210646026,7622210645999,7,1.0
7622210646026,7622210646033,8,1.0
7622210646033,3045140105502,5,1.0
7622210646033,7622210645999,8,1.0
7622210646033,170077,3,0.6666666666666666
7622210690852,7616500642577,5,0.8
7622210690852,7622300200237,21,0.7619047619047619
7622210690852,3045140105502,6,0.6666666666666666
7622210693266,7616500642577,5,1.0
7622210693266,7622300200237,6,0.8333333333333334
7622210693266,4025700001023,5,0.6
7622210820310,3045140280902,10,1.0
7622210820310,4025700001023,20,1.0
7622210820310,7622210078131,12,1.0
7622210826053,3045140280902,10,1.0
7622210826053,4025700001962,4,1.0
7622210826053,7622210078131,8,1.0
7622300200237,7622210690852,20,0.85
7622300200237,3045140105502,91,0.8241758241758241
7622300200237,7616500642560,16,0.8125
7622300495046,170077,8,1.0
7622300495046,7622210826053,3,1.0
7622300495046,7622300617820,3,1.0
7622300498429,3045140105502,9,1.0
7622300498429,3045140280902,12,1.0
7622300498429,4025700001023,7,1.0
7622300617820,3045140280902,7,1.0
7622300617820,4025700001023,11,1.0
7622300617820,7622300495046,6,1.0
7622400005190,3045140280902,4,1.0
7622400005190,4025700001023,5,1.0
7622400005190,7622210163899,3,1.0
7702174068833,7792860009325,4,1.0
7702174068833,8001003100164,5,1.0
7702174068833,7702174070201,20,0.9
7702174070201,7290111352935,5,1.0
7702174070201,7702174068833,68,0.7647058823529411
7792860006218,2752332,3,0.6666666666666666
7792860006218,7702174068833,3,0.6666666666666666
7792860006218,7792860009325,5,0.4
7792860009325,7702174070201,4,0.75
7792860009325,7702174068833,14,0.5714285714285714
8000380189281,7290112346360,4,0.75
8000380189281,5000189974579,11,0.6363636363636364
8000380189281,8000380106028,3,0.3333333333333333
8000500018828,80177616,7,1.0
8000500018828,8000500071083,12,0.75
8000500023624,80177609,4,1.0
8000500023624,8000500029350,8,1.0
8000500023624,80136194,185,0.9351351351351351
8000500023976,8000500037874,8,0.875
8000500023976,8000500192801,3,0.6666666666666666
8000500026731,7290101980919,42,1.0
8000500026731,8001943543458,21,1.0
8000500026731,7296073388531,18,0.9444444444444444
8000500029350,8000500121436,291,0.865979381443299
8000500029350,8000500214138,316,0.8259493670886076
8000500029350,80052760,292,0.773972602739726
8000500037874,7610400068505,3,1.0
8000500037874,8000500023976,9,1.0
8000500037874,8000500314562,4,1.0
8000500071083,8000500256213,4,1.0
8000500071083,80177609,157,0.9426751592356688
8000500071083,7296073398509,105,0.9047619047619048
8000500075708,80974482,5,0.8
8000500075708,8000500126325,81,0.7901234567901234
8000500075708,8000500026731,169,0.6982248520710059
8000500082928,8000500026731,42,0.8333333333333334
8000500082928,8000500075708,14,0.7142857142857143
8000500082928,8000500126325,5,0.6
8000500094976,8000500037874,4,1.0
8000500096017,8000500023624,4,1.0
8000500096017,80177616,4,0.75
8000500096017,4008400208220,13,0.6923076923076923
8000500121436,80052760,10,0.9
8000500121436,8000500029350,260,0.8192307692307692
8000500121436,8000500214138,59,0.7966101694915254
8000500126325,8000500075708,72,0.8611111111111112
8000500126325,7296073388531,12,0.75
8000500126325,8000500026731,115,0.7304347826086957
8000500167656,80310167,9,0.7777777777777778
8000500167656,80177616,3,0.6666666666666666
8000500192801,80050278,6,0.6666666666666666
8000500192801,7610400068505,3,0.6666666666666666
8000500192801,8000500037874,31,0.6451612903225806
8000500214138,8000500121436,6,0.8333333333333334
8000500214138,8000500029350,62,0.7419354838709677
8000500214138,80052760,15,0.6
8000500217740,5413548280189,3,1.0
8000500217740,8000500249352,28,0.8214285714285714
8000500217740,4008400208220,3,0.6666666666666666
8000500249352,8000500217740,107,0.8598130841121495
8000500249352,4008400208220,6,0.8333333333333334
8000500249352,8000500029350,4,0.75
8000500256213,80310167,3,1.0
8000500256213,8000500217740,48,0.6875
8000500256213,8000500249352,13,0.46153846153846156
8000500327319,8000500338827,3,0.6666666666666666
8000500338827,80050025,7,0.8571428571428571
8000500338827,2753223,3,0.6666666666666666
8000500338827,80936848,3,0.6666666666666666
8001003100164,1817063,3,1.0
8001003100164,7290111353239,8,0.75
8001003100164,7290111352935,16,0.5625
8001675552711,8001675552704,7,1.0
8001675552711,170077,5,0.8
8002267014945,7296073378891,16,0.9375
8002267014945,7296073388548,20,0.85
8002267014945,8000500075708,5,0.6
8032880800243,7290105363602,4,1.0
8032880800243,9800800056,14,0.7857142857142857
8032880800243,7622300761363,3,0.6666666666666666
8683323063024,8693323085100,5,0.8
8683323063024,7290111352966,45,0.6888888888888889
8683323063024,7290111352973,10,0.6
8690504153740,7610400074155,3,1.0
8690504153740,8690766156374,5,1.0
8690504153740,8690504156543,61,0.9016393442622951
8690504153849,8690504153740,3,1.0
8690504153849,8690504156543,23,0.9565217391304348
8690504155591,8690504156543,21,0.9047619047619048
8690504156543,8690504153849,3,1.0
8690526009254,8690526009278,9,1.0
8690526009254,8690526035697,16,0.875
8690526009254,8690526009353,6,0.8333333333333334
8690526009278,8690526009353,20,0.95
8690526009278,8690526009254,13,0.8461538461538461
8690526009278,8690526035697,4,0.75
8690526009353,8690526009254,4,1.0
8690526009353,8690526009278,5,1.0
8690526009353,8690526035697,6,1.0
8690526035697,7296073385684,8,1.0
8690526035697,8690526009353,3,1.0
8690526035697,8690526019154,4,1.0
8690766156367,8690766156381,5,0.8
8690766156367,5000168199221,5,0.6
8690766156374,8690766156367,8,0.75
8690766156374,8690766156381,16,0.75
8690766156374,8748384,3,0.6666666666666666
8690766156381,3046920028363,6,1.0
8690766156381,7290105961525,3,1.0
8690766156381,8690766156398,5,1.0
8690766156398,8690766156404,11,0.8181818181818182
8690766156398,31290140251,9,0.6666666666666666
8690766156398,8690504153849,3,0.6666666666666666
8690766156404,7610400091060,4,1.0
8690766156404,8690766156411,17,0.8235294117647058
8690766156404,8690766156398,25,0.68
8690766156411,8690766156398,3,1.0
8690766156411,8690766156404,3,1.0
8690766156411,8690766156374,3,0.3333333333333333
8693323085100,25675120037,11,1.0
8693323085100,8693323086107,9,1.0
8693323085100,7290111352959,58,0.9137931034482759
8719900516413,5000159516563,10,0.8
8850632604259,8693323085100,3,1.0
8850632604259,8850632604372,18,0.9444444444444444
8850632604259,25675120037,3,0.6666666666666666
8850632604372,8850632604259,35,0.8285714285714286
8850632604372,8850632604402,15,0.8
8850632604372,25675120037,3,0.3333333333333333
8850632604402,8693323085100,15,1.0
8850632604402,8850632604372,37,0.918918918918919
8850632604402,8850632604259,32,0.90625
9002975393812,9002975393850,3,0.6666666666666666
9002975393836,9002975393829,3,0.6666666666666666
9002975393843,9002975393850,4,1.0
9002975393843,7290111353055,13,0.6153846153846154
9002975393843,9002975393836,3,0.3333333333333333
9002975393850,9002975393812,8,1.0
